# CVS $Revision: 25176 $ $Author: amaitland $ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Fantasy Craft	SOURCESHORT:FC	SOURCEDATE:2009-07
#Original Entry By: Crafty Games, Inc - courtesy of DragonDarkLord

# COMMENT: For this to work:
# (1) We need to alter VISIBILITY based upon PRExxx Conditions
# (2) VISIBLE:YES|if(PREXXX:1,x) or something like that.

# Skill Name	Key Stat	Untrained?				Type								Visible	Source Page		PreBoolean
Acrobatics		KEYSTAT:DEX	USEUNTRAINED:YES	ACHECK:YES	TYPE:Dexterity.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.69	PREBOOL:context("SKILL",Rank<MaxRank)
Athletics		KEYSTAT:STR	USEUNTRAINED:YES	ACHECK:YES	TYPE:Strength.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.70	PREBOOL:context("SKILL",Rank<MaxRank)
Blend			KEYSTAT:CHA	USEUNTRAINED:YES			TYPE:Charisma.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.71	PREBOOL:context("SKILL",Rank<MaxRank)
Bluff			KEYSTAT:CHA	USEUNTRAINED:YES			TYPE:Charisma.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.72	PREBOOL:context("SKILL",Rank<MaxRank)
Crafting		KEYSTAT:INT	USEUNTRAINED:YES			TYPE:Intelligence.BaseSkill.AlignmentSkill	VISIBLE:YES	SOURCEPAGE:p.72	PREBOOL:context("SKILL",Rank<MaxRank)
Disguise		KEYSTAT:CHA	USEUNTRAINED:YES			TYPE:Charisma.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.73	PREBOOL:context("SKILL",Rank<MaxRank)
Haggle		KEYSTAT:WIS	USEUNTRAINED:YES			TYPE:Wisdom.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.74	PREBOOL:context("SKILL",Rank<MaxRank)
Impress		KEYSTAT:CHA	USEUNTRAINED:YES			TYPE:Charisma.BaseSkill					VISIBLE:YES	SOURCEPAGE:p.74	PREBOOL:context("SKILL",Rank<MaxRank)
Intimidate		KEYSTAT:WIS	USEUNTRAINED:YES			TYPE:Wisdom.BaseSkill					VISIBLE:YES	SOURCEPAGE:p.75	PREBOOL:context("SKILL",Rank<MaxRank)
Investigate		KEYSTAT:WIS	USEUNTRAINED:YES			TYPE:Wisdom.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.76	PREBOOL:context("SKILL",Rank<MaxRank)
Medicine		KEYSTAT:INT	USEUNTRAINED:YES			TYPE:Intelligence.BaseSkill				VISIBLE:YES	SOURCEPAGE:p.77	PREBOOL:context("SKILL",Rank<MaxRank)
Notice		KEYSTAT:WIS	USEUNTRAINED:YES			TYPE:Wisdom.BaseSkill					VISIBLE:YES	SOURCEPAGE:p.78	PREBOOL:context("SKILL",Rank<MaxRank)
Prestidigitation	KEYSTAT:DEX	USEUNTRAINED:YES	ACHECK:YES	TYPE:Dexterity.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.79	PREBOOL:context("SKILL",Rank<MaxRank)
Resolve		KEYSTAT:CON	USEUNTRAINED:YES	ACHECK:YES	TYPE:Constitution.BaseSkill				VISIBLE:YES	SOURCEPAGE:p.80	PREBOOL:context("SKILL",Rank<MaxRank)
Ride			KEYSTAT:DEX	USEUNTRAINED:YES	ACHECK:YES	TYPE:Dexterity.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.80	PREBOOL:context("SKILL",Rank<MaxRank)
Search		KEYSTAT:INT	USEUNTRAINED:YES			TYPE:Intelligence.BaseSkill.AlignmentSkill	VISIBLE:YES	SOURCEPAGE:p.81	PREBOOL:context("SKILL",Rank<MaxRank)
Sense Motive	KEYSTAT:WIS	USEUNTRAINED:YES			TYPE:Wisdom.BaseSkill					VISIBLE:YES	SOURCEPAGE:p.81	PREBOOL:context("SKILL",Rank<MaxRank)
Sneak			KEYSTAT:DEX	USEUNTRAINED:YES	ACHECK:YES	TYPE:Dexterity.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.82	PREBOOL:context("SKILL",Rank<MaxRank)
Survival		KEYSTAT:WIS	USEUNTRAINED:YES			TYPE:Wisdom.BaseSkill.AlignmentSkill		VISIBLE:YES	SOURCEPAGE:p.82	PREBOOL:context("SKILL",Rank<MaxRank)
Tactics		KEYSTAT:INT	USEUNTRAINED:YES			TYPE:Intelligence.BaseSkill.AlignmentSkill	VISIBLE:YES	SOURCEPAGE:p.83	PREBOOL:context("SKILL",Rank<MaxRank)

###Block:
# Skill Name	Key Stat	Untrained?		Exclusive?		Type			Visible	Source Page		
Spellcasting	KEYSTAT:INT	USEUNTRAINED:YES	EXCLUSIVE:YES	TYPE:Intelligence	VISIBLE:YES	SOURCEPAGE:p.111	!PREBOOL:context("SKILL",Rank<MaxRank)

###Block: Display
Knowledge Check	KEYSTAT:INT	USEUNTRAINED:YES	CLASSES:ALL	VISIBLE:EXPORT	SORTKEY:z

#
# END
#

#
